ts_code,name,management,custodian,fund_type,found_date,benchmark
008739.OF,中欧同益一年定开债,中欧基金,上海银行,债券型,20191231,中债综合指数收益率
007885.OF,中融中证500ETF联接A,中融基金,中国光大银行,股票型,20191231,中证500指数收益率*95%+银行活期存款利率(税后)*5%
007886.OF,中融中证500ETF联接C,中融基金,中国光大银行,股票型,20191231,中证500指数收益率*95%+银行活期存款利率(税后)*5%
515700.SH,新能车ETF,平安基金,招商证券,股票型,20191231,中证新能源汽车产业指数收益率
007445.OF,国投瑞银顺悦3个月定开,国投瑞银基金,宁波银行,债券型,20191231,中债综合指数收益率
007787.OF,富国中证国企一带一路ETF联接C,富国基金,中国银行,股票型,20191231,中证国企一带一路指数收益率*95%+银行活期存款利率(税后)*5%
008064.OF,建信睿信三个月定开债,建信基金,中信银行,债券型,20191231,中债综合指数收益率
007786.OF,富国中证国企一带一路ETF联接A,富国基金,中国银行,股票型,20191231,中证国企一带一路指数收益率*95%+银行活期存款利率(税后)*5%
008396.OF,博时中证500ETF联接A,博时基金,招商银行,股票型,20191230,中证500指数收益率*95%+银行活期存款利率(税后)*5%
007981.OF,红塔红土瑞祥纯债A,红塔红土基金,浙商银行,债券型,20191230,中债综合指数(总财富)收益率
007982.OF,红塔红土瑞祥纯债C,红塔红土基金,浙商银行,债券型,20191230,中债综合指数(总财富)收益率
008269.OF,大成睿享A,大成基金,中国农业银行,混合型,20191230,沪深300指数收益率*60%+中证综合债券指数收益率*30%+恒生指数收益率*10%
008467.OF,博道嘉瑞A,博道基金,招商银行,混合型,20191230,沪深300指数收益率*55%+中债综合全价(总值)指数收益率*40%+中证港股通综合指数(人民币)收益率*5%
008270.OF,大成睿享C,大成基金,中国农业银行,混合型,20191230,沪深300指数收益率*60%+中证综合债券指数收益率*30%+恒生指数收益率*10%
008468.OF,博道嘉瑞C,博道基金,招商银行,混合型,20191230,沪深300指数收益率*55%+中债综合全价(总值)指数收益率*40%+中证港股通综合指数(人民币)收益率*5%
008397.OF,博时中证500ETF联接C,博时基金,招商银行,股票型,20191230,中证500指数收益率*95%+银行活期存款利率(税后)*5%
008082.OF,国寿安保研究精选A,国寿安保基金,中国建设银行,混合型,20191230,沪深300指数收益率*80%+中证全债指数收益率*20%
008083.OF,国寿安保研究精选C,国寿安保基金,中国建设银行,混合型,20191230,沪深300指数收益率*80%+中证全债指数收益率*20%
008518.OF,弘毅远方经济新动力A,弘毅远方基金,广发证券,混合型,20191230,沪深300指数收益率*60%+上证国债指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%
008487.OF,中信建投稳悦一年定开债,中信建投基金,中信银行,债券型,20191230,中证综合债指数收益率
008325.OF,宝盈祥利稳健配置C,宝盈基金,招商银行,混合型,20191227,中证全债指数收益率*70%+沪深300指数收益率*30%
008324.OF,宝盈祥利稳健配置A,宝盈基金,招商银行,混合型,20191227,中证全债指数收益率*70%+沪深300指数收益率*30%
008355.OF,农银金祺定开债,农银汇理基金,中国建设银行,债券型,20191227,中证全债指数收益率
007398.OF,兴全磐稳增利债券C,兴证全球基金,交通银行,债券型,20191227,中证全债指数*95%+同业存款利率*5%
008210.OF,南方宝泰一年C,南方基金,中国邮政储蓄银行,混合型,20191227,上证国债指数收益率*75%+沪深300指数收益率*20%+中证港股通综合指数(人民币)收益率*5%
515380.SH,泰康沪深300ETF,泰康资产,招商银行,股票型,20191227,沪深300指数收益率
008107.OF,华商医药医疗行业,华商基金,中国建设银行,股票型,20191227,申万医药生物行业指数收益率*80%+中证全债指数收益率*15%+中证港股通医药卫生综合指数收益率*5%
008209.OF,南方宝泰一年A,南方基金,中国邮政储蓄银行,混合型,20191227,上证国债指数收益率*75%+沪深300指数收益率*20%+中证港股通综合指数(人民币)收益率*5%
008322.OF,东方卓行18个月定开A,东方基金,中国民生银行,债券型,20191227,一年期定期存款利率(税后)+1.8%
008323.OF,东方卓行18个月定开C,东方基金,中国民生银行,债券型,20191227,一年期定期存款利率(税后)+1.8%
008216.OF,农银彭博利率债指数,农银汇理基金,中国工商银行,债券型,20191227,彭博1-3年中国利率债指数收益率*95%+银行活期存款利率(税后)*5%
008769.OF,创金合信上证超大盘量化C,创金合信基金,中国工商银行,股票型,20191227,上证50指数收益率*95%+一年期人民币定期存款利率(税后)*5%
008278.OF,国泰惠鑫一年定开债,国泰基金,南京银行,债券型,20191227,中证综合债指数收益率
