ts_code,name
ag主力连续,白银主
ag次主力连续,白银次
al主力连续,铝主
al次主力连续,铝次
AP主力连续,苹果主
AP次主力连续,苹果次
au主力连续,黄金主
au次主力连续,黄金次
a主力连续,豆一主
a次主力连续,豆一次
bb主力连续,胶合板主
bb次主力连续,胶合板次
bc主力连续,国际铜主
bc次主力连续,国际铜次
bu主力连续,沥青主
bu次主力连续,沥青次
b主力连续,豆二主
b次主力连续,豆二次
CF主力连续,棉花主
CF次主力连续,棉花次
CJ主力连续,红枣主
CJ次主力连续,红枣次
cs主力连续,玉米淀粉主
cs次主力连续,玉米淀粉次
cu主力连续,铜主
cu次主力连续,铜次
CY主力连续,棉纱主
CY次主力连续,棉纱次
c主力连续,玉米主
c次主力连续,玉米次
eb主力连续,丙乙烯主
eb次主力连续,丙乙烯次
eg主力连续,乙二醇主
eg次主力连续,乙二醇次
ER主力连续,籼稻主
ER次主力连续,籼稻次
fb主力连续,纤维板主
fb次主力连续,纤维板次
FG主力连续,玻璃主
FG次主力连续,玻璃次
fu主力连续,燃料油主
fu次主力连续,燃料油次
hc主力连续,热轧卷板主
hc次主力连续,热轧卷板次
IC主力连续,中证500主
IC次主力连续,中证500次
IF主力连续,沪深300主
IF次主力连续,沪深300次
IH主力连续,上证50主
IH次主力连续,上证50次
i主力连续,铁矿石主
i次主力连续,铁矿石次
jd主力连续,鸡蛋主
jd次主力连续,鸡蛋次
jm主力连续,焦煤主
jm次主力连续,焦煤次
JR主力连续,粳稻主
JR次主力连续,粳稻次
j主力连续,焦炭主
j次主力连续,焦炭次
lh主力连续,生猪主
lh次主力连续,生猪次
LR主力连续,晚籼稻主
LR次主力连续,晚籼稻次
lu主力连续,低硫燃油主
lu次主力连续,低硫燃油次
l主力连续,聚乙烯主
l次主力连续,聚乙烯次
MA主力连续,甲醇主
MA次主力连续,甲醇次
ME主力连续,甲醇主
ME次主力连续,甲醇次
m主力连续,豆粕主
m次主力连续,豆粕次
ni主力连续,镍主
ni次主力连续,镍次
nr主力连续,20号胶主
nr次主力连续,20号胶次
OI主力连续,菜籽油主
OI次主力连续,菜籽油次
pb主力连续,铅主
pb次主力连续,铅次
PF主力连续,短纤主
PF次主力连续,短纤次
pg主力连续,LPG主
pg次主力连续,LPG次
PK主力连续,花生主
PK次主力连续,花生次
PM主力连续,普麦主
PM次主力连续,普麦次
pp主力连续,聚丙烯主
pp次主力连续,聚丙烯次
p主力连续,棕榈油主
p次主力连续,棕榈油次
rb主力连续,螺纹钢主
rb次主力连续,螺纹钢次
RI主力连续,早籼稻主
RI次主力连续,早籼稻次
RM主力连续,菜籽粕主
RM次主力连续,菜籽粕次
RO主力连续,曾-菜籽油主
RO次主力连续,曾-菜籽油次
rr主力连续,粳米主
rr次主力连续,粳米次
RS主力连续,油菜籽主
RS次主力连续,油菜籽次
ru主力连续,天胶主
ru次主力连续,天胶次
SA主力连续,纯碱主
SA次主力连续,纯碱次
sc主力连续,原油主
sc次主力连续,原油次
SF主力连续,硅铁主
SF次主力连续,硅铁次
SM主力连续,锰硅主
SM次主力连续,锰硅次
sn主力连续,锡主
sn次主力连续,锡次
sp主力连续,纸浆主
sp次主力连续,纸浆次
SR主力连续,白糖主
SR次主力连续,白糖次
ss主力连续,不锈钢主
ss次主力连续,不锈钢次
TA主力连续,PTA主
TA次主力连续,PTA次
TC主力连续,曾-动力煤主
TC次主力连续,曾-动力煤次
TF主力连续,五债主
TF次主力连续,五债次
TS主力连续,二债主
TS次主力连续,二债次
T主力连续,十债主
T次主力连续,十债次
UR主力连续,尿素主
UR次主力连续,尿素次
v主力连续,聚氯乙烯主
v次主力连续,聚氯乙烯次
WH主力连续,强麦主
WH次主力连续,强麦次
wr主力连续,线材主
wr次主力连续,线材次
WS主力连续,曾-强麦主
WS次主力连续,曾-强麦次
WT主力连续,硬麦主
WT次主力连续,硬麦次
y主力连续,豆油主
y次主力连续,豆油次
ZC主力连续,动力煤主
ZC次主力连续,动力煤次
zn主力连续,锌主
zn次主力连续,锌次
